areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2021-02-10,1715,421603
overview,United Kingdom,K02000001,2021-02-09,1743,419888
overview,United Kingdom,K02000001,2021-02-08,1909,418145
overview,United Kingdom,K02000001,2021-02-07,1846,416236
overview,United Kingdom,K02000001,2021-02-06,1880,414390
overview,United Kingdom,K02000001,2021-02-05,2002,412510
overview,United Kingdom,K02000001,2021-02-04,2137,410508
overview,United Kingdom,K02000001,2021-02-03,2348,408371
overview,United Kingdom,K02000001,2021-02-02,2478,406023
overview,United Kingdom,K02000001,2021-02-01,2602,403545
overview,United Kingdom,K02000001,2021-01-31,2395,400943
overview,United Kingdom,K02000001,2021-01-30,2462,398548
overview,United Kingdom,K02000001,2021-01-29,2675,396086
overview,United Kingdom,K02000001,2021-01-28,3043,393411
overview,United Kingdom,K02000001,2021-01-27,3054,390368
overview,United Kingdom,K02000001,2021-01-26,3138,387314
overview,United Kingdom,K02000001,2021-01-25,2928,384176
overview,United Kingdom,K02000001,2021-01-24,3113,381248
overview,United Kingdom,K02000001,2021-01-23,3104,378135
overview,United Kingdom,K02000001,2021-01-22,3388,375031
overview,United Kingdom,K02000001,2021-01-21,3633,371643
overview,United Kingdom,K02000001,2021-01-20,4051,368010
overview,United Kingdom,K02000001,2021-01-19,4155,363959
overview,United Kingdom,K02000001,2021-01-18,4060,359804
overview,United Kingdom,K02000001,2021-01-17,3747,355744
overview,United Kingdom,K02000001,2021-01-16,3944,351997
overview,United Kingdom,K02000001,2021-01-15,3676,348053
overview,United Kingdom,K02000001,2021-01-14,4097,344377
overview,United Kingdom,K02000001,2021-01-13,4225,340280
overview,United Kingdom,K02000001,2021-01-12,4575,336055
overview,United Kingdom,K02000001,2021-01-11,4310,331480
overview,United Kingdom,K02000001,2021-01-10,3929,327170
overview,United Kingdom,K02000001,2021-01-09,4125,323241
overview,United Kingdom,K02000001,2021-01-08,3994,319116
overview,United Kingdom,K02000001,2021-01-07,4289,315122
overview,United Kingdom,K02000001,2021-01-06,4388,310833
overview,United Kingdom,K02000001,2021-01-05,4118,306445
overview,United Kingdom,K02000001,2021-01-04,3936,302327
overview,United Kingdom,K02000001,2021-01-03,3649,298391
overview,United Kingdom,K02000001,2021-01-02,3438,294742
overview,United Kingdom,K02000001,2021-01-01,3371,291304
overview,United Kingdom,K02000001,2020-12-31,2918,287933
overview,United Kingdom,K02000001,2020-12-30,3283,285015
