date,newCasesByPublishDate,newDeaths28DaysByPublishDate,newAdmissions,hospitalCases,covidOccupiedMVBeds,London
2020-04-21,4301,1224,1713,19139,3036,0.09
2020-04-22,4451,847,1527,18533,2964,0.09
2020-04-23,4583,682,1513,17867,2867,0.09
2020-04-24,5386,1010,1525,17063,2703,0.09
2020-04-25,4913,815,1255,16604,2702,0.08
2020-04-26,4463,364,1355,16555,2580,0.1
2020-04-27,4310,320,1537,16661,2460,0.1
2020-04-28,3996,969,1517,15876,2353,0.09
2020-04-29,4076,769,1489,15520,2286,0.09
2020-04-30,6032,634,1443,15163,2224,0.09
2020-05-01,6201,698,1263,14722,2178,0.09
2020-05-02,4806,584,1180,14379,2068,0.09
2020-05-03,4339,253,1188,14187,2009,0.1
2020-05-04,3985,272,1250,14096,1936,0.11
2020-05-05,4406,726,1146,13722,1874,0.11
2020-05-06,6111,647,1206,13147,1802,0.11
2020-05-07,5614,458,1166,12626,1685,0.11
2020-05-08,4649,579,910,12053,1642,0.11
2020-05-09,3896,275,943,12021,1585,0.11
2020-05-10,3923,217,915,11727,1538,0.1
2020-05-11,3877,187,1029,11967,1485,0.13
2020-05-12,3403,614,983,11591,1414,0.12
2020-05-13,3242,447,966,11342,1342,0.12
2020-05-14,3446,352,909,10920,1314,0.12
2020-05-15,3560,350,869,10690,1337,0.13
2020-05-16,3451,411,813,10237,1234,0.13
2020-05-17,3562,67,792,10198,1196,0.15
2020-05-18,2684,146,848,10230,1141,0.16
2020-05-19,2412,500,880,10012,1106,0.16
2020-05-20,2472,328,850,9562,1034,0.16
2020-05-21,2615,273,842,9292,1008,0.15
2020-05-22,3287,291,739,9183,964,0.15
2020-05-23,2959,220,643,8813,928,0.15
2020-05-24,2409,379,587,8813,886,0.18
2020-05-25,1625,104,602,8835,863,0.2
2020-05-26,2004,131,697,8730,847,0.17
2020-05-27,2013,422,712,8218,783,0.17
2020-05-28,1887,343,702,7905,751,0.17
2020-05-29,2095,274,615,7585,719,0.18
2020-05-30,2445,154,568,7266,704,0.19
2020-05-31,1936,60,528,7236,679,0.21
2020-06-01,1570,86,605,7246,652,0.2
2020-06-02,1613,249,668,7084,636,0.2
2020-06-03,1871,254,634,6812,602,0.18
2020-06-04,1805,130,565,6573,571,0.17
2020-06-05,1650,258,475,6372,554,0.17
2020-06-06,1557,143,406,6142,540,0.18
2020-06-07,1326,54,407,5937,515,0.2
2020-06-08,1205,47,412,5925,509,0.19
2020-06-09,1387,195,492,5730,491,0.19
2020-06-10,1003,164,512,5470,439,0.17
2020-06-11,1266,76,446,5179,390,0.17
2020-06-12,1541,131,392,5089,393,0.18
2020-06-13,1425,107,385,4941,390,0.24
2020-06-14,1514,27,364,4908,393,0.24
2020-06-15,1056,29,440,4870,385,0.23
2020-06-16,1279,120,455,4863,378,0.21
2020-06-17,1115,110,432,4719,357,0.2
2020-06-18,1218,67,403,4560,352,0.2
2020-06-19,1346,84,336,4414,330,0.22
2020-06-20,1295,71,257,4252,346,0.27
2020-06-21,1221,31,288,4222,310,0.24
2020-06-22,958,14,395,4281,340,0.26
2020-06-23,874,94,362,4134,311,0.26
2020-06-24,653,87,368,4030,316,0.26
2020-06-25,1118,99,324,3850,276,0.27
2020-06-26,1006,79,339,3620,268,0.27
2020-06-27,890,40,287,3544,270,0.25
2020-06-28,901,31,208,3557,270,0.28
2020-06-29,815,21,220,3748,262,0.26
2020-06-30,689,53,295,3383,279,0.25
2020-07-01,829,97,270,3198,259,0.25
2020-07-02,576,41,217,3079,239,0.25
2020-07-03,544,50,214,2942,231,0.28
2020-07-04,624,32,202,2801,220,0.32
